ts_code,trade_date,turnover_rate,volume_ratio,pe_ttm,pb,ps_ttm,dv_ttm,total_mv,circ_mv
603386.SH,20260127,6.2628,0.83,,3.7034,2.0074,,504168.3552,504168.3552
300456.SZ,20260127,7.1935,0.73,25.7977,5.7774,37.0313,,3930520.1033,3207106.6507
000657.SZ,20260127,10.0747,1.3,72.8551,11.6532,6.6619,0.3169,11504673.6156,7335820.0518
603395.SH,20260127,5.7319,0.98,292.9631,5.6875,2.4105,0.3771,795600.0,198900.0
688027.SH,20260127,3.8,0.91,,19.047,178.2348,,6120332.4205,4782355.3894
603429.SH,20260127,1.884,0.76,,5.0156,34.4621,,618892.8487,618892.8487
300917.SZ,20260127,3.256,0.55,48.9068,5.4949,2.1906,0.6614,638820.0,638820.0
301266.SZ,20260127,8.5351,1.25,110.9565,2.7658,1.6301,0.2204,498646.7266,473039.7736
688399.SH,20260127,10.6823,1.57,,2.1694,18.9895,4.4294,643799.3304,643799.3304
603737.SH,20260127,0.5777,0.37,57.8753,13.3724,3.1171,1.3963,3849931.5741,3849931.5741
601158.SH,20260127,0.2853,1.15,26.0331,1.2688,2.9211,3.4658,2174410.4539,2174410.4539
603897.SH,20260127,2.9583,0.94,21.4819,2.3419,0.4359,6.5982,563156.5378,563156.5378
600539.SH,20260127,3.9351,0.66,,8.1984,5.3115,,260590.0,260590.0
001299.SZ,20260127,3.462,0.97,32.0176,2.6818,4.276,5.7627,316886.0194,285231.6002
002406.SZ,20260127,3.2771,0.61,48.1186,1.5289,4.3889,1.7857,613389.0689,505858.8343
300121.SZ,20260127,2.7231,0.74,36.2392,1.7588,1.7407,1.0183,605072.9815,583499.0386
003011.SZ,20260127,4.7851,1.2,17.1628,1.686,1.8781,2.5596,238310.996,181244.0259
688334.SH,20260127,5.5174,0.62,30.1163,2.7747,8.976,1.481,793031.5623,393046.2685
000021.SZ,20260127,7.6162,0.74,46.4435,3.737,3.12,0.623,4759048.6085,4758287.5964
688371.SH,20260127,1.354,1.23,149.9727,3.569,14.0496,,702814.5858,702814.5858
603360.SH,20260127,2.9043,0.66,111.4104,15.9789,16.3526,1.2575,2406810.2128,2406810.2128
